"cod_prd_ref";"note_ref";"Indicateur_moyen_Brut";"PourcNote";"PourcNoteCohorte";"PourcNoteCohorte5"
"        2011T4";4;0,831337752;0,0185821634531368;0,0440425238160983;0,0809028658381943
"        2011T4";5;1,029132985;0,0288156953574713;0,233604859864697;0,42911488714177
"        2011T4";6;1,05;0,0225838682744556;0,455612315338948;0
"        2012T1";1;0,245486787;0,0195013850415512;0,0770577933450088;0,140313579590752
"        2012T1";2;0,702697958;0,0176416359369762;0,122883829538821;0,223757640180707
"        2012T1";3;0,819872699;0,0224443696832797;0,0681552831290134;0,124103109221366
"        2012T1";4;0,672707657;0,0173588862352187;0,0434909515469936;0,0791921339356896
"        2012T1";5;1,035722155;0,0277257399775197;0,237594862813777;0,432633537071485
"        2012T1";6;1,05;0,0211398694241798;0,450817279626386;0
"        2012T2";1;0,264527148;0,0216435826408126;0,0768524590163934;0,139890188589162
"        2012T2";2;0,785185636;0,0192339926248743;0,120393442622951;0,219145380759131
"        2012T2";3;0,915375199;0,0263372903349834;0,0718688524590164;0,130818811172117
"        2012T2";4;0,897259989;0,0202131997436943;0,0455081967213115;0,0828359990451182
"        2012T2";5;1,048061746;0,0304846895330222;0,234754098360656;0,427309620434471
"        2012T2";6;1,05;0,023514597391221;0,450622950819672;0
"        2012T3";1;0,365688118;0,0183564173591874;0,0674630107234967;0,124655129169802
"        2012T3";2;0,685336885;0,0187730472678512;0,121623455952219;0,224730373714572
"        2012T3";3;0,716968756;0,0251838323641082;0,0711280032577711;0,131427138199147
"        2012T3";4;0,692321581;0,0217277334420691;0,0506311931586806;0,0935540506646601
"        2012T3";5;1,028350771;0,02890084812153;0,230351567802362;0,425633308251818
"        2012T3";6;1,05;0,0231313559902;0,45880276910547;0
"        2012T4";1;0,406474207;0,0190212373037858;0,0686849826620432;0,124909046810575
"        2012T4";2;0,794986645;0,0184587663426081;0,117497999466524;0,213679359689546
"        2012T4";3;0,772939173;0,0253280146104676;0,070285409442518;0,12781954887218
"        2012T4";4;0,88956446;0,0222519951068911;0,0509469191784476;0,0926509822944458
"        2012T4";5;1,039779001;0,0309615450117511;0,242464657241931;0,440941062333252
"        2012T4";6;1,05;0,0230971380079659;0,450120032008536;0
"        2013T1";1;0,293110651;0,0183564173591874;0,0651803278688525;0,118164526866381
"        2013T1";2;0,691576692;0,0201977874622863;0,126426229508197;0,229196386115074
"        2013T1";3;0,865334372;0,025472196856827;0,0695081967213115;0,126010461245839
"        2013T1";4;0,795765372;0,0237665288052659;0,0535081967213115;0,0970042796005706
"        2013T1";5;1,060564019;0,0307742089308219;0,236983606557377;0,429624346172135
"        2013T1";6;1,05;0,0233982562516254;0,448393442622951;0
"        2013T2";1;0,288687159;0,0213850415512465;0,0765366820885658;0,139922667955534
"        2013T2";2;0,751794614;0,0190663761314113;0,120290812954395;0,219913001449976
"        2013T2";3;0,757068011;0,0265295333301293;0,0729676140118969;0,133397776703722
"        2013T2";4;0,960096865;0,0253975650958234;0,0576338400528751;0,105364910584824
"        2013T2";5;1,040131407;0,0282877482203072;0,219563780568407;0,401401643305945
"        2013T2";6;1,05;0,0234530050231998;0,45300727032386;0
"        2013T3";1;0,412750972;0,0227885503231764;0,0821352502662407;0,146974749880896
"        2013T3";2;0,65831142;0,0211825343613812;0,134584664536741;0,240828966174369
"        2013T3";3;0,801216494;0,0258566828471188;0,071618743343983;0,128156264888042
"        2013T3";4;0,883904222;0,0247568008388187;0,0565761448349308;0,101238685088137
"        2013T3";5;1,03520252;0,027368098368473;0,213924387646432;0,382801333968556
"        2013T3";6;1,05;0,0226796786247109;0,441160809371672;0
"        2013T4";1;0,337651924;0,0209418282548476;0,0774801858431265;0,137956204379562
"        2013T4";2;0,690171853;0,0195273214884345;0,127357201421153;0,22676399026764
"        2013T4";3;0,728744235;0,0259528043446917;0,07379065318393;0,131386861313869
"        2013T4";4;0,838428512;0,0269703500902895;0,0632686526373326;0,112652068126521
"        2013T4";5;1,046900778;0,0273851289212848;0,219732167258814;0,391240875912409
"        2013T4";6;1,05;0,0219542574013496;0,438371139655644;0
"        2014T1";1;0,413210185;0,0209048938134811;0,0803977272727273;0,146026831785346
"        2014T1";2;0,556726535;0,0193806570566544;0,131392045454545;0,238648090815273
"        2014T1";3;0,806133788;0,0225404911808526;0,0666193181818182;0,121001031991744
"        2014T1";4;0,799095527;0,0268538474981068;0,0654829545454545;0,118937048503612
"        2014T1";5;1,059229458;0,0247794543410879;0,206676136363636;0,375386996904025
"        2014T1";6;1,05;0,0216531391576902;0,449431818181818;0
"        2014T2";1;0,350509865;0,0223453370267775;0,0893120755831119;0,156979761286975
"        2014T2";2;0,613921343;0,0195273214884345;0,13758488337762;0,241826673585885
"        2014T2";3;0,816390071;0,0214831547075503;0,0659875996457042;0,115983393876492
"        2014T2";4;0,919521576;0,0256888215762801;0,0651018600531444;0,114426569797613
"        2014T2";5;1,03851244;0,0243366599679826;0,210953646294656;0,370783601453036
"        2014T2";6;1,05;0,0199833016246698;0,431059935045763;0
"        2014T3";1;0,330222183;0,0200554016620499;0,0911991938192812;0,161992840095465
"        2014T3";2;0,616237036;0,0177254441837077;0,142089351696339;0,252386634844869
"        2014T3";3;0,611945608;0,0185033882827894;0,0646624118239839;0,114856801909308
"        2014T3";4;0,665731165;0,0265625910176501;0,0765871682902251;0,136038186157518
"        2014T3";5;1,026949141;0,0191082802547771;0,188444743029896;0,33472553699284
"        2014T3";6;1,05;0,0178070379545859;0,437017131340275;0
"        2014T4";1;0,328054696;0,0220129270544783;0,102423096752019;0,18366718027735
"        2014T4";2;0,547436367;0,0170759302715387;0,140058429283382;0,25115562403698
"        2014T4";3;0,712797933;0,0191281780170135;0,0683966317236639;0,122650231124807
"        2014T4";4;0,844539387;0,0244072930622706;0,0720054992266713;0,129121725731895
"        2014T4";5;1,037393939;0,0173200722095439;0,174772297645644;0,313405238828968
"        2014T4";6;1,05;0,0176154172540754;0,44234404536862;0
"        2015T1";1;0,293535502;0,0207940904893813;0,101277208130959;0,186609214451442
"        2015T1";2;0,66956531;0,0162168957425411;0,139233675121425;0,256546237984753
"        2015T1";3;0,699236123;0,0191762387658;0,0717754991905019;0,132250580046404
"        2015T1";4;0,704434508;0,020504456224151;0,0633207411404929;0,116672190918131
"        2015T1";5;1,00753953;0,0158213835621104;0,167116387839539;0,307921776599271
"        2015T1";6;1,05;0,0173964221677776;0,457276488577082;0
"        2015T2";1;0,418884277;0,0228993536472761;0,103385025846256;0,192009910188913
